Q vs QB X,Q vs QB Y,QB vs Q X,QB vs Q Y,/Q X,/Q Y
0.9999999084440655,0,0,0.9999999084440655,0,0
0.9999998986436104,0.02,0.02,0.9999998986436104,0.02,0.02
0.9999998802959543,0.04,0.04,0.9999998802959543,0.04,0.04
0.9999998459476422,0.06,0.06,0.9999998459476422,0.06,0.06
0.9999997816223973,0.08,0.08,0.9999997816223973,0.08,0.08
0.9999996608678653,0.1,0.1,0.9999996608678653,0.1,0.1
0.9999994335301928,0.12,0.12,0.9999994335301928,0.12,0.12
0.9999990043521488,0.14,0.14,0.9999990043521488,0.14,0.14
0.9999981923624968,0.16,0.16,0.9999981923624968,0.16,0.16
0.9999966555365909,0.18,0.18,0.9999966555365909,0.18,0.18
0.9999937464455767,0.2,0.2,0.9999937464455767,0.2,0.2
0.9999882432695179,0.22,0.22,0.9999882432695179,0.22,0.22
0.9999778511752888,0.24,0.24,0.9999778511752888,0.24,0.24
0.9999582873807359,0.26,0.26,0.9999582873807359,0.26,0.26
0.9999216221594679,0.28,0.28,0.9999216221594679,0.28,0.28
0.9998533001089142,0.3,0.3,0.9998533001089142,0.3,0.3
0.9997268122199952,0.32,0.32,0.9997268122199952,0.32,0.32
0.9994940973090658,0.34,0.34,0.9994940973090658,0.34,0.34
0.9990678610688324,0.36,0.36,0.9990678610688324,0.36,0.36
0.9982877055070861,0.3800000000000001,0.3800000000000001,0.9982877055070861,0.3800000000000001,0.3800000000000001
0.9968513067956019,0.4000000000000001,0.4000000000000001,0.9968513067956019,0.4000000000000001,0.4000000000000001
0.9941613974054082,0.4200000000000001,0.4200000000000001,0.9941613974054082,0.4200000000000001,0.4200000000000001
0.9889302634549527,0.4400000000000001,0.4400000000000001,0.9889302634549527,0.4400000000000001,0.4400000000000001
0.977702851094032,0.4600000000000001,0.4600000000000001,0.977702851094032,0.4600000000000001,0.4600000000000001
0.945207114780339,0.4800000000000001,0.4800000000000001,0.945207114780339,0.4800000000000001,0.4800000000000001
0.7244351479293698,0.5000000000000001,0.5000000000000001,0.7244351479293698,0.5000000000000001,0.5000000000000001
0.3455260608330469,0.5200000000000001,0.5200000000000001,0.3455260608330469,0.5200000000000001,0.5200000000000001
0.08378747070525477,0.5400000000000001,0.5400000000000001,0.08378747070525477,0.5400000000000001,0.5400000000000001
0.02705666809205858,0.5600000000000002,0.5600000000000002,0.02705666809205858,0.5600000000000002,0.5600000000000002
0.01287271185189557,0.5800000000000002,0.5800000000000002,0.01287271185189557,0.5800000000000002,0.5800000000000002
0.006526183794393277,0.6000000000000002,0.6000000000000002,0.006526183794393277,0.6000000000000002,0.6000000000000002
0.003366641443331168,0.6200000000000002,0.6200000000000002,0.003366641443331168,0.6200000000000002,0.6200000000000002
0.001738403105204165,0.6400000000000002,0.6400000000000002,0.001738403105204165,0.6400000000000002,0.6400000000000002
0.0008951914862666268,0.6600000000000003,0.6600000000000003,0.0008951914862666268,0.6600000000000003,0.6600000000000003
0.0004577760809419275,0.6800000000000003,0.6800000000000003,0.0004577760809419275,0.6800000000000003,0.6800000000000003
0.0002324664315422152,0.7000000000000003,0.7000000000000003,0.0002324664315422152,0.7000000000000003,0.7000000000000003
0.0001173560044500815,0.7200000000000003,0.7200000000000003,0.0001173560044500815,0.7200000000000003,0.7200000000000003
5.899403964465487e-05,0.7400000000000003,0.7400000000000003,5.899403964465487e-05,0.7400000000000003,0.7400000000000003
2.958812162608692e-05,0.7600000000000003,0.7600000000000003,2.958812162608692e-05,0.7600000000000003,0.7600000000000003
1.483853808077088e-05,0.7800000000000004,0.7800000000000004,1.483853808077088e-05,0.7800000000000004,0.7800000000000004
7.461062069499651e-06,0.8000000000000004,0.8000000000000004,7.461062069499651e-06,0.8000000000000004,0.8000000000000004
3.775726123237182e-06,0.8200000000000004,0.8200000000000004,3.775726123237182e-06,0.8200000000000004,0.8200000000000004
1.934792809504748e-06,0.8400000000000004,0.8400000000000004,1.934792809504748e-06,0.8400000000000004,0.8400000000000004
1.014244349093147e-06,0.8600000000000004,0.8600000000000004,1.014244349093147e-06,0.8600000000000004,0.8600000000000004
5.530335931392156e-07,0.8800000000000004,0.8800000000000004,5.530335931392156e-07,0.8800000000000004,0.8800000000000004
3.213054504911575e-07,0.9000000000000005,0.9000000000000005,3.213054504911575e-07,0.9000000000000005,0.9000000000000005
2.044409350656508e-07,0.9200000000000005,0.9200000000000005,2.044409350656508e-07,0.9200000000000005,0.9200000000000005
1.452180934675827e-07,0.9400000000000005,0.9400000000000005,1.452180934675827e-07,0.9400000000000005,0.9400000000000005
1.150470836771686e-07,0.9600000000000005,0.9600000000000005,1.150470836771686e-07,0.9600000000000005,0.9600000000000005
9.961404880895055e-08,0.9800000000000005,0.9800000000000005,9.961404880895055e-08,0.9800000000000005,0.9800000000000005
9.164075931114184e-08,1,1,9.164075931114184e-08,1,1
